document_title,document_number,action,publication_date,pdf_url,abstract,excerpts,topics,dates,page_length,start_page,end_page,significant,agency_names,agency_ids,agency_urls,agency_parent_ids,agency_slugs,cfr_titles,cfr_parts
"Product Change-Priority Mail Express, Priority Mail, and USPS Ground Advantage® Negotiated Service Agreement",2024-26614,Notice.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26614.pdf,The Postal Service gives notice of filing a request with the Postal Regulatory Commission to add a domestic shipping services contract to the list of Negotiated Service Agreements in the Mail Classification Schedule's Competitive Products List.,The Postal Service gives notice of filing a request with the Postal Regulatory Commission to add a domestic shipping services contract to the list of Negotiated Service Agreements in the Mail Classification Schedule's Competitive Products List.,,"Date of required notice: November 15, 2024.",1,90330,90330,,Postal Service,410,https://www.federalregister.gov/agencies/postal-service,None,postal-service,,
Nonclinical Safety Assessment of Oligonucleotide-Based Therapeutics; Draft Guidance for Industry; Availability,2024-26682,Notice of availability.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26682.pdf,"The Food and Drug Administration (FDA or Agency) is announcing the availability of a draft guidance for industry entitled ""Nonclinical Safety Assessment of Oligonucleotide-Based Therapeutics."" FDA is publishing this draft guidance which, when finalized, will provide recommendations on approaches for the nonclinical safety evaluation of oligonucleotide-based therapeutics (ONTs) to support clinical development and marketing of these products. ONTs present unique challenges and opportunities in the nonclinical evaluation of safety that differ in many regards from those appropriate for small molecule drugs or therapeutic proteins.","The Food and Drug Administration (FDA or Agency) is announcing the availability of a draft guidance for industry entitled ""Nonclinical Safety Assessment of Oligonucleotide-Based Therapeutics."" FDA is publishing this draft guidance which, when...",,"Submit either electronic or written comments on the draft guidance by January 14, 2025 to ensure that the Agency considers your comment on this draft guidance before it begins work on the final version of the guidance.",3,90296,90298,,"Health and Human Services Department, Food and Drug Administration","221, 199","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/food-and-drug-administration","None, 221","health-and-human-services-department, food-and-drug-administration",,
"Toyo Tire Holdings of Americas Inc., Grant of Petition for Decision of Inconsequential Noncompliance",2024-26539,Grant of petition.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26539.pdf,"Toyo Tire Holdings of Americas, Inc., (Toyo) has determined that certain Open Country R/T light truck tires, do not fully comply with Federal Motor Vehicle Safety Standard (FMVSS) No. 119, New Pneumatic Tires for Motor Vehicles with a GVWR of More Than 4,536 Kilograms (10,000 Pounds) and Motorcycles. Toyo filed a noncompliance report dated March 15, 2021, and later amended it on April 2, 2021. Toyo simultaneously petitioned NHTSA on April 2, 2021, for a decision that the subject noncompliance is inconsequential as it relates to motor vehicle safety. This notice announces the grant of Toyo's petition.","Toyo Tire Holdings of Americas, Inc., (Toyo) has determined that certain Open Country R/T light truck tires, do not fully comply with Federal Motor Vehicle Safety Standard (FMVSS) No. 119, New Pneumatic Tires for Motor Vehicles with a GVWR of More Than...",,,2,90350,90351,,"Transportation Department, National Highway Traffic Safety Administration","492, 345","https://www.federalregister.gov/agencies/transportation-department, https://www.federalregister.gov/agencies/national-highway-traffic-safety-administration","None, 492","transportation-department, national-highway-traffic-safety-administration",,
Notice of Availability of a Final Environmental Impact Statement for SouthCoast Wind Energy LLC's Proposed SouthCoast Wind Energy Project Offshore Massachusetts and Rhode Island,2024-26657,Notice of availability; final environmental impact statement.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26657.pdf,"The Bureau of Ocean Energy Management (BOEM) announces the availability of the final environmental impact statement (FEIS) for SouthCoast Wind Energy LLC's (SouthCoast Wind) construction and operations plan (COP) for its proposed SouthCoast Wind Project (Project) offshore Massachusetts and Rhode Island. The FEIS analyzes the potential environmental impacts of the Project as described in the COP (the proposed action) and the alternatives to the proposed action, including the no action alternative. The FEIS will inform BOEM's decision whether to approve, approve with conditions, or disapprove the COP.",The Bureau of Ocean Energy Management (BOEM) announces the availability of the final environmental impact statement (FEIS) for SouthCoast Wind Energy LLC's (SouthCoast Wind) construction and operations plan (COP) for its proposed SouthCoast Wind...,,,2,90316,90317,,"Interior Department, Ocean Energy Management Bureau","253, 575","https://www.federalregister.gov/agencies/interior-department, https://www.federalregister.gov/agencies/ocean-energy-management-bureau","None, 253","interior-department, ocean-energy-management-bureau",,
Negative Option Rule,2024-25534,Final rule.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-25534.pdf,"The Federal Trade Commission (""FTC"" or ""Commission"") issues final amendments to the Commission's trade regulation ""Rule Concerning Use of Prenotification Negative Option Plans,"" retitled the ""Rule Concerning Recurring Subscriptions and Other Negative Option Programs"" (""Rule,"" ""final Rule"" or ""Negative Option Rule""). The final Rule now applies to all negative option programs in any media. This document also contains the text of the final Rule, the Rule's Statement of Basis and Purpose (""SBP""), and a final regulatory analysis.","The Federal Trade Commission (""FTC"" or ""Commission"") issues final amendments to the Commission's trade regulation ""Rule Concerning Use of Prenotification Negative Option Plans,"" retitled the ""Rule Concerning Recurring Subscriptions and Other Negative...","Advertising, Consumer protection, Trade practices","Effective date: This rule is effective January 14, 2025.",70,90476,90545,False,Federal Trade Commission,192,https://www.federalregister.gov/agencies/federal-trade-commission,None,federal-trade-commission,16,425
Provisions Pertaining to U.S. Investments in Certain National Security Technologies and Products in Countries of Concern,2024-25422,Final rule.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-25422.pdf,"This final rule sets forth the regulations that implement Executive Order 14105 of August 9, 2023, ""Addressing United States Investments in Certain National Security Technologies and Products in Countries of Concern,"" which declares a national emergency to address the threat to the United States posed by countries of concern that seek to develop and exploit sensitive technologies or products critical for military, intelligence, surveillance, or cyber-enabled capabilities. The final rule requires United States persons to provide notification to the U.S. Department of the Treasury regarding certain transactions involving persons of a country of concern that are engaged in activities involving certain national security technologies and products that may contribute to the threat to the national security of the United States; and prohibits United States persons from engaging in certain other transactions involving persons of a country of concern that are engaged in activities involving certain other national security technologies and products that pose a particularly acute national security threat to the United States.","This final rule sets forth the regulations that implement Executive Order 14105 of August 9, 2023, ""Addressing United States Investments in Certain National Security Technologies and Products in Countries of Concern,"" which declares a national...","Administrative practice and procedure, Aliens, Business and industry, Confidential business information, Electronic filing, Executive orders, Holding companies, Investigations, Investment companies, Investments, National defense, Penalties, Reporting and recordkeeping requirements, Science and technology, Securities","This final rule is effective on January 2, 2025.",76,90398,90473,True,"Treasury Department, Investment Security Office","497, 603","https://www.federalregister.gov/agencies/treasury-department, https://www.federalregister.gov/agencies/investment-security-office","None, 497","treasury-department, investment-security-office",31,850
Product Change-Priority Mail and USPS Ground Advantage® Negotiated Service Agreement,2024-26561,Notice.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26561.pdf,The Postal Service gives notice of filing a request with the Postal Regulatory Commission to add a domestic shipping services contract to the list of Negotiated Service Agreements in the Mail Classification Schedule's Competitive Products List.,The Postal Service gives notice of filing a request with the Postal Regulatory Commission to add a domestic shipping services contract to the list of Negotiated Service Agreements in the Mail Classification Schedule's Competitive Products List.,,"Date of required notice: November 15, 2024.",1,90324,90324,,Postal Service,410,https://www.federalregister.gov/agencies/postal-service,None,postal-service,,
Agency Information Collection Activity Under OMB Review: Application for VA Education Benefits,2024-26585,Notice.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26585.pdf,"In compliance with the Paperwork Reduction Act (PRA) of 1995, this notice announces that the Veterans Benefits Administration (VBA), Department of Veterans Affairs, will submit the collection of information abstracted below to the Office of Management and Budget (OMB) for review and comment. The PRA submission describes the nature of the information collection and its expected cost and burden, and it includes the actual data collection instrument.","In compliance with the Paperwork Reduction Act (PRA) of 1995, this notice announces that the Veterans Benefits Administration (VBA), Department of Veterans Affairs, will submit the collection of information abstracted below to the Office of Management...",,"Comments and recommendations for the proposed information collection should be sent within 30 days of publication of this notice by clicking on the following link www.reginfo.gov/public/do/PRAMain, select ""Currently under Review--Open for Public Comments"", then search the list for the information collection by Title or ""OMB Control No. 2900-0154.""",2,90395,90396,,Veterans Affairs Department,520,https://www.federalregister.gov/agencies/veterans-affairs-department,None,veterans-affairs-department,,
Notice of Requests for Additional Information; Pacific Ports Operational Improvements Agreement,2024-26672,,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26672.pdf,,,,,1,90283,90283,,Federal Maritime Commission,178,https://www.federalregister.gov/agencies/federal-maritime-commission,None,federal-maritime-commission,,
"Air Plan Approval; District of Columbia, Maryland, Virginia; Determination of Attainment by the Attainment Date and Clean Data Determination for the Washington, DC-MD-VA Nonattainment Area for the 2015 Ozone National Ambient Air Quality Standards",2024-26423,Proposed rule.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26423.pdf,"The Environmental Protection Agency (EPA) is proposing to determine that the Washington, DC-MD-VA nonattainment area (the Washington Area or the Area) has attained the 2015 8-hour ozone national ambient air quality standards (2015 ozone NAAQS) by the applicable attainment date of August 3, 2024. Accompanying this proposed determination of attainment by the attainment date is a re- proposed clean data determination (CDD) under the EPA's Clean Data Policy. If finalized, this action will address the EPA's obligation under Clean Air Act (CAA) sections 179(c) and 181(b)(2) to determine whether the Washington Area attained the 2015 ozone NAAQS by the August 3, 2024 attainment date and, as set forth in the EPA's Clean Data Policy, suspend the obligation of the District of Columbia (DC), the State of Maryland (MD), and the Commonwealth of Virginia (VA) to submit certain attainment planning requirements for as long as the Area continues to attain the 2015 ozone NAAQS. As part of this rulemaking, the EPA also proposes to take final agency action on an exceptional events request submitted by the District of Columbia on March 20, 2024, and concurred on by the EPA on July 17, 2024. The proposed attainment determination and CDD are based upon the EPA's concurrence on the exceptional events demonstration. This action is being taken under the CAA.","The Environmental Protection Agency (EPA) is proposing to determine that the Washington, DC-MD-VA nonattainment area (the Washington Area or the Area) has attained the 2015 8-hour ozone national ambient air quality standards (2015 ozone NAAQS) by the...","Air pollution control, Environmental protection, Incorporation by reference, Ozone, Reporting and recordkeeping requirements","Written comments must be received on or before December 16, 2024.",6,90249,90254,,Environmental Protection Agency,145,https://www.federalregister.gov/agencies/environmental-protection-agency,None,environmental-protection-agency,40,52
Defense Federal Acquisition Regulation Supplement: Disclosure of Information Regarding Foreign Obligations (DFARS Case 2018-D064),2024-26058,Proposed rule.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26058.pdf,"DoD is proposing to amend the Defense Federal Acquisition Regulation Supplement (DFARS) to implement a section of the National Defense Authorization Act for Fiscal Year 2019, which prohibits DoD from acquiring products, services, or systems relating to information or operational technology, cybersecurity, industrial control systems, or weapon systems through a contract unless the offeror or contractor provides disclosures related to sharing source code and computer code with foreign governments.","DoD is proposing to amend the Defense Federal Acquisition Regulation Supplement (DFARS) to implement a section of the National Defense Authorization Act for Fiscal Year 2019, which prohibits DoD from acquiring products, services, or systems relating to...",Government procurement,"Comments on the proposed rule should be submitted in writing to the address shown below on or before January 14, 2025, to be considered in the formation of a final rule.",6,90254,90259,True,"Defense Department, Defense Acquisition Regulations System","103, 97","https://www.federalregister.gov/agencies/defense-department, https://www.federalregister.gov/agencies/defense-acquisition-regulations-system","None, 103","defense-department, defense-acquisition-regulations-system","48, 48, 48, 48, 48","212, 213, 217, 239, 252"
"Fisheries of the Gulf of Mexico; Southeast Data, Assessment, and Review (SEDAR); Public Meeting",2024-26523,"Notice of SEDAR 87 assessment webinar IV for Gulf of Mexico white, pink, and brown shrimp.",2024-11-14,https://www.govinfo.gov/content/pkg/FR-2024-11-14/pdf/2024-26523.pdf,"The SEDAR 87 assessment process of Gulf of Mexico white, pink, and brown shrimp will consist of a Data Workshop, and a series of assessment webinars, and a Review Workshop. See SUPPLEMENTARY INFORMATION.","The SEDAR 87 assessment process of Gulf of Mexico white, pink, and brown shrimp will consist of a Data Workshop, and a series of assessment webinars, and a Review Workshop. See SUPPLEMENTARY INFORMATION.",,"The SEDAR 87 assessment webinar IV will be held December 2, 2024, from 1 p.m. until 5 p.m., Eastern Time.",2,89967,89968,,"Commerce Department, National Oceanic and Atmospheric Administration","54, 361","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration","None, 54","commerce-department, national-oceanic-and-atmospheric-administration",,
South Atlantic Fishery Management Council; Public Meeting,2024-26500,Notice of a public meeting.,2024-11-14,https://www.govinfo.gov/content/pkg/FR-2024-11-14/pdf/2024-26500.pdf,"The South Atlantic Fishery Management Council (Council; SAFMC) will hold meetings of the following: Citizen Science Committee; Dolphin Wahoo Committee; Southeast Data, Assessment, and Review (SEDAR) Committee; and Snapper Grouper Committee. The meeting week will also include a formal public comment session and meetings of the Full Council.","The South Atlantic Fishery Management Council (Council; SAFMC) will hold meetings of the following: Citizen Science Committee; Dolphin Wahoo Committee; Southeast Data, Assessment, and Review (SEDAR) Committee; and Snapper Grouper Committee. The meeting...",,"The Council meeting will be held from 8:30 a.m. on Monday, December 2, 2024, until 12 p.m. on Friday, December 6, 2024.",2,89968,89969,,"Commerce Department, National Oceanic and Atmospheric Administration","54, 361","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration","None, 54","commerce-department, national-oceanic-and-atmospheric-administration",,
Marine Mammals and Endangered Species,2024-26477,"Notice; issuance of permits, permit amendments, and permit modifications.",2024-11-14,https://www.govinfo.gov/content/pkg/FR-2024-11-14/pdf/2024-26477.pdf,"Notice is hereby given that permits, permit amendments, and permit modifications have been issued to the following entities under the Marine Mammal Protection Act (MMPA) and the Endangered Species Act (ESA), as applicable.","Notice is hereby given that permits, permit amendments, and permit modifications have been issued to the following entities under the Marine Mammal Protection Act (MMPA) and the Endangered Species Act (ESA), as applicable.",,,2,89969,89970,,"Commerce Department, National Oceanic and Atmospheric Administration","54, 361","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration","None, 54","commerce-department, national-oceanic-and-atmospheric-administration",,
Pacific Fishery Management Council; Public Meeting,2024-26499,Notice of public online meeting.,2024-11-14,https://www.govinfo.gov/content/pkg/FR-2024-11-14/pdf/2024-26499.pdf,The Groundfish Subcommittee of the Pacific Fishery Management Council's (Pacific Council's) Scientific and Statistical Committee (SSC) will hold a meeting to update the Accepted Practices Guidelines for Groundfish Stock Assessments document. The SSC Groundfish Subcommittee meeting is open to the public and is being conducted in- person with a web broadcast that provides the opportunity for remote listening and public comment.,The Groundfish Subcommittee of the Pacific Fishery Management Council's (Pacific Council's) Scientific and Statistical Committee (SSC) will hold a meeting to update the Accepted Practices Guidelines for Groundfish Stock Assessments document. The SSC...,,"The SSC Groundfish Subcommittee's meeting will be held Monday, December 2, 2024, from 1 p.m., Pacific Time until business for the day is completed, and reconvene Tuesday, December 3, 2024, from 8:30 a.m., Pacific Time until business for the day has been completed.",2,89970,89971,,"Commerce Department, National Oceanic and Atmospheric Administration","54, 361","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration","None, 54","commerce-department, national-oceanic-and-atmospheric-administration",,
Gulf of Mexico Fishery Management Council; Public Meeting,2024-26528,Notice of a public meeting.,2024-11-14,https://www.govinfo.gov/content/pkg/FR-2024-11-14/pdf/2024-26528.pdf,The Gulf of Mexico Fishery Management Council (Council) will hold a one day virtual meeting of its Standing and Special Mackerel Scientific and Statistical Committees (SSC).,The Gulf of Mexico Fishery Management Council (Council) will hold a one day virtual meeting of its Standing and Special Mackerel Scientific and Statistical Committees (SSC).,,"The meeting will be held Thursday, December 5, 2024, from 8:30 a.m. to 4:30 p.m., EST.",1,89971,89971,,"Commerce Department, National Oceanic and Atmospheric Administration","54, 361","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration","None, 54","commerce-department, national-oceanic-and-atmospheric-administration",,
Gulf of Mexico Fishery Management Council; Public Meeting,2024-26498,Notice of a public meeting.,2024-11-14,https://www.govinfo.gov/content/pkg/FR-2024-11-14/pdf/2024-26498.pdf,The Gulf of Mexico Fishery Management Council (Council) will hold a one day in-person meeting of its Reef Fish Advisory Panel (AP).,The Gulf of Mexico Fishery Management Council (Council) will hold a one day in-person meeting of its Reef Fish Advisory Panel (AP).,,"The meeting will take place Tuesday, December 3, 2024, from 8:30 a.m. to 5 p.m., EST.",1,89972,89972,,"Commerce Department, National Oceanic and Atmospheric Administration","54, 361","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration","None, 54","commerce-department, national-oceanic-and-atmospheric-administration",,
New England Fishery Management Council; Public Meeting,2024-26501,Notice of public meeting.,2024-11-14,https://www.govinfo.gov/content/pkg/FR-2024-11-14/pdf/2024-26501.pdf,"The New England Fishery Management Council (Council, NEFMC) will hold a three-day hybrid meeting with both in-person and remote participation to consider actions affecting New England fisheries in the exclusive economic zone (EEZ).","The New England Fishery Management Council (Council, NEFMC) will hold a three-day hybrid meeting with both in-person and remote participation to consider actions affecting New England fisheries in the exclusive economic zone (EEZ).",,"The meeting will be held on Tuesday, December 3, 2024, through Thursday, December 5, 2024, beginning at 9 a.m. all three days.",2,89972,89973,,"Commerce Department, National Oceanic and Atmospheric Administration","54, 361","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration","None, 54","commerce-department, national-oceanic-and-atmospheric-administration",,
North Pacific Fishery Management Council; Public Meetings,2024-26502,Notice of public meetings.,2024-11-14,https://www.govinfo.gov/content/pkg/FR-2024-11-14/pdf/2024-26502.pdf,The North Pacific Fishery Management Council (Council) and its advisory committees will meet in December. The meetings will be held via hybrid conference.,The North Pacific Fishery Management Council (Council) and its advisory committees will meet in December. The meetings will be held via hybrid conference.,,"The meetings will be held December 2, 2024, through December 10, 2024. See SUPPLEMENTARY INFORMATION for specific dates and times.",3,89973,89975,,"Commerce Department, National Oceanic and Atmospheric Administration","54, 361","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration","None, 54","commerce-department, national-oceanic-and-atmospheric-administration",,
"Notice of Federal Advisory Committee Meeting-Defense Advisory Committee on Investigation, Prosecution, and Defense of Sexual Assault in the Armed Forces",2024-26521,Notice of Federal Advisory Committee meeting.,2024-11-14,https://www.govinfo.gov/content/pkg/FR-2024-11-14/pdf/2024-26521.pdf,"The DoD is publishing this notice to announce that the following Federal Advisory Committee meeting of the Defense Advisory Committee on Investigation, Prosecution, and Defense (DAC-IPAD) of Sexual Assault in the Armed Forces will take place.","The DoD is publishing this notice to announce that the following Federal Advisory Committee meeting of the Defense Advisory Committee on Investigation, Prosecution, and Defense (DAC-IPAD) of Sexual Assault in the Armed Forces will take place.",,"December 3, 2024, and December 4, 2024. Day 1, open to the public from 9:45 a.m. to 5 p.m. and day 2, open to the public from 1 p.m. to 5 p.m. Eastern Standard Time (EST).",2,89975,89976,,"Defense Department, ","103, ","https://www.federalregister.gov/agencies/defense-department, ","None, ","defense-department, ",,
National Center for Complementary & Integrative Health; Amended Notice of Meeting,2024-26527,,2024-11-14,https://www.govinfo.gov/content/pkg/FR-2024-11-14/pdf/2024-26527.pdf,,,,,1,90020,90020,,"Health and Human Services Department, National Institutes of Health","221, 353","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/national-institutes-of-health","None, 221","health-and-human-services-department, national-institutes-of-health",,
National Institute of Neurological Disorders and Stroke; Notice of Closed Meetings.,2024-26429,,2024-11-14,https://www.govinfo.gov/content/pkg/FR-2024-11-14/pdf/2024-26429.pdf,,,,"December 5, 2024.",1,90021,90021,,"Health and Human Services Department, National Institutes of Health","221, 353","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/national-institutes-of-health","None, 221","health-and-human-services-department, national-institutes-of-health",,
National Institute of Neurological Disorders and Stroke; Notice of Closed Meeting,2024-26428,,2024-11-14,https://www.govinfo.gov/content/pkg/FR-2024-11-14/pdf/2024-26428.pdf,,,,"December 6, 2024.",1,90021,90021,,"Health and Human Services Department, National Institutes of Health","221, 353","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/national-institutes-of-health","None, 221","health-and-human-services-department, national-institutes-of-health",,
National Cancer Institute; Notice of Closed Meetings,2024-26497,,2024-11-14,https://www.govinfo.gov/content/pkg/FR-2024-11-14/pdf/2024-26497.pdf,,,,"December 6, 2024.",2,90021,90022,,"Health and Human Services Department, National Institutes of Health","221, 353","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/national-institutes-of-health","None, 221","health-and-human-services-department, national-institutes-of-health",,
Center for Scientific Review; Notice of Closed Meetings,2024-26427,,2024-11-14,https://www.govinfo.gov/content/pkg/FR-2024-11-14/pdf/2024-26427.pdf,,,,"December 2, 2024.",1,90022,90022,,"Health and Human Services Department, National Institutes of Health","221, 353","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/national-institutes-of-health","None, 221","health-and-human-services-department, national-institutes-of-health",,
"Office of the Director, National Institutes of Health; Notice of Meeting",2024-26426,,2024-11-14,https://www.govinfo.gov/content/pkg/FR-2024-11-14/pdf/2024-26426.pdf,,,,"December 3, 2024.",2,90022,90023,,"Health and Human Services Department, National Institutes of Health","221, 353","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/national-institutes-of-health","None, 221","health-and-human-services-department, national-institutes-of-health",,
National Institute of Arthritis and Musculoskeletal and Skin Diseases; Notice of Meeting,2024-26479,,2024-11-14,https://www.govinfo.gov/content/pkg/FR-2024-11-14/pdf/2024-26479.pdf,,,,"January 28, 2025.",1,90023,90023,,"Health and Human Services Department, National Institutes of Health","221, 353","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/national-institutes-of-health","None, 221","health-and-human-services-department, national-institutes-of-health",,
Government Owned Inventions Available for Licensing or Collaboration: Machine Learning Model for the Prioritization of Cancer Neoepitopes,2024-26464,Notice.,2024-11-14,https://www.govinfo.gov/content/pkg/FR-2024-11-14/pdf/2024-26464.pdf,"The National Cancer Institute (NCI), an institute of the National Institutes of Health (NIH), Department of Health and Human Services (HHS), is giving notice of licensing and collaboration opportunities for the inventions listed below, which are owned by an agency of the U.S. Government and are available for license and collaboration in the U.S. to achieve expeditious commercialization of results of federally-funded research and development.","The National Cancer Institute (NCI), an institute of the National Institutes of Health (NIH), Department of Health and Human Services (HHS), is giving notice of licensing and collaboration opportunities for the inventions listed below, which are owned...",,,2,90023,90024,,"Health and Human Services Department, National Institutes of Health","221, 353","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/national-institutes-of-health","None, 221","health-and-human-services-department, national-institutes-of-health",,
National Cancer Institute; Notice of Meeting,2024-26430,,2024-11-14,https://www.govinfo.gov/content/pkg/FR-2024-11-14/pdf/2024-26430.pdf,,,,"December 2, 2024.",2,90024,90025,,"Health and Human Services Department, National Institutes of Health","221, 353","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/national-institutes-of-health","None, 221","health-and-human-services-department, national-institutes-of-health",,
Center for Scientific Review; Notice of Closed Meetings,2024-26496,,2024-11-14,https://www.govinfo.gov/content/pkg/FR-2024-11-14/pdf/2024-26496.pdf,,,,"December 9, 2024.",1,90025,90025,,"Health and Human Services Department, National Institutes of Health","221, 353","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/national-institutes-of-health","None, 221","health-and-human-services-department, national-institutes-of-health",,
National Institute of Nursing Research; Notice of Meeting,2024-26480,,2024-11-14,https://www.govinfo.gov/content/pkg/FR-2024-11-14/pdf/2024-26480.pdf,,,,"January 28, 2025.",2,90025,90026,,"Health and Human Services Department, National Institutes of Health","221, 353","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/national-institutes-of-health","None, 221","health-and-human-services-department, national-institutes-of-health",,
Endangered and Threatened Wildlife and Plants; Initiation of 5-Year Status Reviews of 38 Species in the Southwest,2024-26525,Notice of initiation of reviews; request for information.,2024-11-14,https://www.govinfo.gov/content/pkg/FR-2024-11-14/pdf/2024-26525.pdf,"We, the U.S. Fish and Wildlife Service, are conducting 5-year status reviews of 38 animal and plant species under the Endangered Species Act. A 5-year status review is based on the best scientific and commercial data available at the time of the review; therefore, we are requesting submission of any such information that has become available since the last reviews for the species.","We, the U.S. Fish and Wildlife Service, are conducting 5-year status reviews of 38 animal and plant species under the Endangered Species Act. A 5-year status review is based on the best scientific and commercial data available at the time of the...",,"To ensure consideration, we are requesting submission of new information no later than December 16, 2024. However, we will continue to accept new information about any listed species at any time.",3,90030,90032,,"Interior Department, Fish and Wildlife Service","253, 197","https://www.federalregister.gov/agencies/interior-department, https://www.federalregister.gov/agencies/fish-and-wildlife-service","None, 253","interior-department, fish-and-wildlife-service",,
"Mission Valley Power Project, Montana-Power Rate Adjustment",2024-26471,Notice of proposed rate adjustment.,2024-11-14,https://www.govinfo.gov/content/pkg/FR-2024-11-14/pdf/2024-26471.pdf,"The Bureau of Indian Affairs (BIA) proposes to adjust electric power rates for the Mission Valley Power Project (MVP). We are required to establish rates to recover the costs to administer, operate, maintain, and rehabilitate the MVP. We request your comments on the proposed rate adjustments.","The Bureau of Indian Affairs (BIA) proposes to adjust electric power rates for the Mission Valley Power Project (MVP). We are required to establish rates to recover the costs to administer, operate, maintain, and rehabilitate the MVP. We request your...",,"Interested parties may submit comments on the proposed rate adjustments on or before December 16, 2024.",5,90032,90036,,"Interior Department, Indian Affairs Bureau","253, 234","https://www.federalregister.gov/agencies/interior-department, https://www.federalregister.gov/agencies/indian-affairs-bureau","None, 253","interior-department, indian-affairs-bureau",,
"Land Acquisitions; Navajo Nation, Arizona, New Mexico, & Utah, Lower Highway 89 Project, Coconino County, Arizona",2024-26534,Notice.,2024-11-14,https://www.govinfo.gov/content/pkg/FR-2024-11-14/pdf/2024-26534.pdf,"The Assistant Secretary--Indian Affairs made a final agency determination to acquire in trust 13.79 acres, more or less, of land consisting of three parcels, known as the Lower Highway 89 Project, in Coconino County, Arizona, for the Navajo Nation, Arizona, New Mexico, & Utah for gaming and other purposes.","The Assistant Secretary--Indian Affairs made a final agency determination to acquire in trust 13.79 acres, more or less, of land consisting of three parcels, known as the Lower Highway 89 Project, in Coconino County, Arizona, for the Navajo Nation,...",,"This final determination was made on November 8, 2024.",2,90036,90037,,"Interior Department, Indian Affairs Bureau","253, 234","https://www.federalregister.gov/agencies/interior-department, https://www.federalregister.gov/agencies/indian-affairs-bureau","None, 253","interior-department, indian-affairs-bureau",,
Clarifying the Implementation of Certain BLM Oil and Gas Measurement Regulations,2024-26475,Proposed notice to lessees.,2024-11-14,https://www.govinfo.gov/content/pkg/FR-2024-11-14/pdf/2024-26475.pdf,"The Bureau of Land Management (BLM) is proposing to adopt Notice to Lessees No. 5 (NTL-5), clarifying when and how operators are expected to comply with certain requirements in the oil and gas measurement regulations, which became effective in January 2017.","The Bureau of Land Management (BLM) is proposing to adopt Notice to Lessees No. 5 (NTL-5), clarifying when and how operators are expected to comply with certain requirements in the oil and gas measurement regulations, which became effective in January...",,"Send your comments on the proposed NTL-5, included below and entitled, Compliance with the Site Security, Measurement of Oil, and Measurement of Gas, 43 CFR part 3170, to the BLM on or before December 16, 2024. The BLM is not obligated to consider any comments received after this date in making its decision on the final NTL-5.",2,90037,90038,,"Interior Department, Land Management Bureau","253, 275","https://www.federalregister.gov/agencies/interior-department, https://www.federalregister.gov/agencies/land-management-bureau","None, 253","interior-department, land-management-bureau",,
