document_title,document_number,action,publication_date,pdf_url,abstract,excerpts,topics,dates,page_length,start_page,end_page,significant,agency_names,agency_ids,agency_urls,agency_parent_ids,agency_slugs,cfr_titles,cfr_parts
"Airworthiness Directives; Bombardier, Inc., Airplanes",2023-28590,Notice of proposed rulemaking (NPRM).,2023-12-28,https://www.govinfo.gov/content/pkg/FR-2023-12-28/pdf/2023-28590.pdf,"The FAA proposes to adopt a new airworthiness directive (AD) for certain Bombardier, Inc., Model CL-600-2B16 (601-3A, 601-3R, and 604 Variants) airplanes. This proposed AD was prompted by a report indicating that a new filter plate connector for the nose wheel steering (NWS) system electronic control module (ECM) does not meet certain certification requirements. This proposed AD would require replacing all affected non-compliant ECMs. This proposed AD would also prohibit the installation of affected parts under certain conditions. The FAA is proposing this AD to address the unsafe condition on these products.","The FAA proposes to adopt a new airworthiness directive (AD) for certain Bombardier, Inc., Model CL-600-2B16 (601-3A, 601-3R, and 604 Variants) airplanes. This proposed AD was prompted by a report indicating that a new filter plate connector for the...","Air transportation, Aircraft, Aviation safety, Incorporation by reference, Safety","The FAA must receive comments on this proposed AD by February 12, 2024.",4,89633,89636,False,"Transportation Department, Federal Aviation Administration","492, 159","https://www.federalregister.gov/agencies/transportation-department, https://www.federalregister.gov/agencies/federal-aviation-administration","None, 492","transportation-department, federal-aviation-administration",14,39
Bad Debt Deductions for Regulated Financial Companies and Members of Regulated Financial Groups,2023-28589,Notice of proposed rulemaking.,2023-12-28,https://www.govinfo.gov/content/pkg/FR-2023-12-28/pdf/2023-28589.pdf,This document contains proposed regulations that would provide guidance regarding whether a debt instrument is worthless for Federal income tax purposes. The proposed regulations are necessary to update the standard for determining when a debt instrument held by a regulated financial company or a member of a regulated financial group will be conclusively presumed to be worthless. The proposed regulations will affect regulated financial companies and members of regulated financial groups that hold debt instruments.,This document contains proposed regulations that would provide guidance regarding whether a debt instrument is worthless for Federal income tax purposes. The proposed regulations are necessary to update the standard for determining when a debt...,"Income taxes, Reporting and recordkeeping requirements","Written or electronic comments and requests for a public hearing must be received by February 26, 2024.",9,89636,89644,False,"Treasury Department, Internal Revenue Service","497, 254","https://www.federalregister.gov/agencies/treasury-department, https://www.federalregister.gov/agencies/internal-revenue-service","None, 497","treasury-department, internal-revenue-service",26,1
"Establish Anchorage Ground; Port Westward Anchorage, Columbia River, Oregon and Washington",2023-28652,Notice of proposed rulemaking.,2023-12-28,https://www.govinfo.gov/content/pkg/FR-2023-12-28/pdf/2023-28652.pdf,"The Coast Guard is considering establishing an anchorage ground near Port Westward, Oregon in the Columbia River. We are considering this action after receiving requests suggesting that this anchorage ground is necessary to provide for the safe anchoring of commercial vessels in the navigable waters of the Lower Columbia River. We invite your comments on this proposed rulemaking.","The Coast Guard is considering establishing an anchorage ground near Port Westward, Oregon in the Columbia River. We are considering this action after receiving requests suggesting that this anchorage ground is necessary to provide for the safe...",Anchorage grounds,"Comments and related material must be received by the Coast Guard on or before February 26, 2024.",3,89644,89646,False,"Homeland Security Department, Coast Guard","227, 53","https://www.federalregister.gov/agencies/homeland-security-department, https://www.federalregister.gov/agencies/coast-guard","None, 227","homeland-security-department, coast-guard",33,110
"Establish Anchorage Ground; Rice Island Anchorage, Columbia River, Oregon and Washington",2023-28656,Notice of proposed rulemaking.,2023-12-28,https://www.govinfo.gov/content/pkg/FR-2023-12-28/pdf/2023-28656.pdf,"The Coast Guard is considering establishing an anchorage ground near Rice Island, Oregon in the Columbia River. We are considering this action after receiving requests suggesting that this anchorage ground is necessary to provide for the safe anchoring of commercial vessels in the navigable waters of the Lower Columbia River. We invite your comments on this proposed rulemaking.","The Coast Guard is considering establishing an anchorage ground near Rice Island, Oregon in the Columbia River. We are considering this action after receiving requests suggesting that this anchorage ground is necessary to provide for the safe anchoring...",Anchorage grounds,"Comments and related material must be received by the Coast Guard on or before February 26, 2024.",3,89646,89648,False,"Homeland Security Department, Coast Guard","227, 53","https://www.federalregister.gov/agencies/homeland-security-department, https://www.federalregister.gov/agencies/coast-guard","None, 227","homeland-security-department, coast-guard",33,110
"Establish Anchorage Ground; Crims Island Anchorage, Columbia River, Oregon and Washington",2023-28654,Notice of proposed rulemaking.,2023-12-28,https://www.govinfo.gov/content/pkg/FR-2023-12-28/pdf/2023-28654.pdf,"The Coast Guard is considering establishing an anchorage ground near Crims Island, Oregon in the Columbia River. We are considering this action after receiving requests suggesting that this anchorage ground is necessary to provide for the safe anchoring of commercial vessels in the navigable waters of the Lower Columbia River. We invite your comments on this proposed rulemaking.","The Coast Guard is considering establishing an anchorage ground near Crims Island, Oregon in the Columbia River. We are considering this action after receiving requests suggesting that this anchorage ground is necessary to provide for the safe...",Anchorage grounds,"Comments and related material must be received by the Coast Guard on or before February 26, 2024.",3,89648,89650,False,"Homeland Security Department, Coast Guard","227, 53","https://www.federalregister.gov/agencies/homeland-security-department, https://www.federalregister.gov/agencies/coast-guard","None, 227","homeland-security-department, coast-guard",33,110
Federal Travel Regulation; Updating Glossary of Terms and E-Gov Travel Service Requirements,2023-28551,Proposed rule.,2023-12-28,https://www.govinfo.gov/content/pkg/FR-2023-12-28/pdf/2023-28551.pdf,"GSA is proposing to amend the Federal Travel Regulation (FTR) Glossary of Terms to add the term ""Online booking tool (OBT)"" and revise the definition of ""E-Gov Travel Service (ETS)""; remove outdated policies on implementing ETS; renumber ETS regulations in a sequential order as necessary; and make miscellaneous editorial corrections.","GSA is proposing to amend the Federal Travel Regulation (FTR) Glossary of Terms to add the term ""Online booking tool (OBT)"" and revise the definition of ""E-Gov Travel Service (ETS)""; remove outdated policies on implementing ETS; renumber ETS...","Administrative practice and procedure, Government contracts, Government employees, Individuals with disabilities, Travel and transportation expenses","Interested parties should submit written comments to the Regulatory Secretariat Division at the address shown below on or before February 26, 2024 to be considered in the formation of the final rule.",4,89650,89653,False,General Services Administration,210,https://www.federalregister.gov/agencies/general-services-administration,None,general-services-administration,"41, 41, 41, 41, 41, 41, 41","300, 301, 301, 301, 301, 301, 301"
Rules of Practice and Procedure,2023-25646,Final rule.,2023-12-28,https://www.govinfo.gov/content/pkg/FR-2023-12-28/pdf/2023-25646.pdf,"The Comptroller of the Currency (OCC), Board of Governors of the Federal Reserve System (Board), Federal Deposit Insurance Corporation (FDIC), and the National Credit Union Administration (NCUA) (collectively, the Agencies) are adopting final changes to the Uniform Rules of Practice and Procedure (Uniform Rules) to recognize the use of electronic communications in all aspects of administrative hearings and to otherwise increase the efficiency and fairness of administrative adjudications. The OCC, Board, and FDIC are also modifying their agency-specific rules of administrative practice and procedure (Local Rules). The OCC also is integrating its Uniform Rules and Local Rules so that one set of rules applies to both national banks and Federal savings associations and amending its rules on organization and functions to address service of process.","The Comptroller of the Currency (OCC), Board of Governors of the Federal Reserve System (Board), Federal Deposit Insurance Corporation (FDIC), and the National Credit Union Administration (NCUA) (collectively, the Agencies) are adopting final changes...","Administrative practice and procedure, Bank deposit insurance, Banks, banking, Banks, banking, Banks, banking, Banks, banking, Claims, Credit unions, Crime, Equal access to justice, Federal Reserve System, Fraud, Freedom of information, Holding companies, Individuals with disabilities, Investigations, Investments, Lawyers, Minority businesses, National banks, Organization and functions (Government agencies), Penalties, Reporting and recordkeeping requirements, Savings associations, Savings associations, Securities, Trusts and trustees, Women","The rule is effective on April 1, 2024.",154,89820,89973,False,"Treasury Department, Comptroller of the Currency, Federal Reserve System, Federal Deposit Insurance Corporation, National Credit Union Administration","497, 80, 188, 164, 335","https://www.federalregister.gov/agencies/treasury-department, https://www.federalregister.gov/agencies/comptroller-of-the-currency, https://www.federalregister.gov/agencies/federal-reserve-system, https://www.federalregister.gov/agencies/federal-deposit-insurance-corporation, https://www.federalregister.gov/agencies/national-credit-union-administration","None, 497, None, None, None","treasury-department, comptroller-of-the-currency, federal-reserve-system, federal-deposit-insurance-corporation, national-credit-union-administration","12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12","3, 4, 6, 19, 108, 109, 112, 150, 165, 238, 263, 308, 747"
"Clinical Laboratory Improvement Amendments of 1988 (CLIA) Fees; Histocompatibility, Personnel, and Alternative Sanctions for Certificate of Waiver Laboratories",2023-28170,Final rule.,2023-12-28,https://www.govinfo.gov/content/pkg/FR-2023-12-28/pdf/2023-28170.pdf,"This final rule updates the Clinical Laboratory Improvement Amendments of 1988 (CLIA) fees and clarifies the CLIA fee regulations. This final rule implements a process for sustainable funding for the CLIA program through a biennial two-part increase of CLIA fees. We are finalizing the incorporation of limited/specific laboratory fees, including fees for follow-up surveys, substantiated complaint surveys, and revised certificates. We are also finalizing the distribution of the administrative overhead costs of test complexity determination for waived tests and test systems with a nominal increase in Certificate of Waiver (CoW) fees. In addition, we are finalizing the clarification of the methodology used to determine program compliance fees. This final rule ensures the continuing quality and safety of laboratory testing for the public. This final rule also amends histocompatibility and personnel regulations under CLIA to address obsolete regulations and update the regulations to incorporate technological changes. In addition, this final rule amends the provisions governing alternative sanctions (including civil money penalties, a directed plan of correction, a directed portion of a plan of correction, and onsite State monitoring) to allow for the imposition of such sanctions on CoW laboratories.",This final rule updates the Clinical Laboratory Improvement Amendments of 1988 (CLIA) fees and clarifies the CLIA fee regulations. This final rule implements a process for sustainable funding for the CLIA program through a biennial two-part increase of...,"Administrative practice and procedure, Grant programs-health, Health facilities, Laboratories, Medicaid, Medicare, Penalties, Reporting and recordkeeping requirements","These regulations are effective January 27, 2024, except for instruction 3, amending Sec. 493.2; instructions 14 through 19, amending Sec. Sec. 493.945, 493.1273, 493.1274, 493.1278, 493.1359, and 493.1405; instruction 20 removing Sec. 493.1406; instructions 21 through 30, amending Sec. Sec. 493.1407, 493.1411, 493.1417, 493.1423, 493.1443, 493.1445, 493.1449, 493.1451, 493.1455, and 493.1461; instruction 31 removing Sec. 493.1462; and instructions 32 through 36, amending Sec. Sec. 493.1463, 493.1469, 493.1483, 493.1483, 493.1489, and 493.1491, which are effective December 28, 2024.",69,89976,90044,True,"Health and Human Services Department, Centers for Medicare & Medicaid Services","221, 45","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services","None, 221","health-and-human-services-department, centers-for-medicare-medicaid-services",42,493
Real-Time Public Reporting Requirements and Swap Data Recordkeeping and Reporting Requirements,2023-28350,Notice of proposed rulemaking.,2023-12-28,https://www.govinfo.gov/content/pkg/FR-2023-12-28/pdf/2023-28350.pdf,"The Commodity Futures Trading Commission (the ""Commission"" or the ""CFTC"") is proposing revisions to part 43 and part 45 of the Commission's regulations to: allow for continued geographic masking after the designation of the unique product identifier and product classification system (""UPI"") for swaps in the other commodity asset class; implement conforming changes in connection with the geographic masking requirement; add reportable data fields to appendix A to part 43 and appendix 1 to part 45 that promote international harmonization and further the Commission's surveillance and analysis activities; and implement non-substantive revisions to the descriptions of the existing reportable data elements in such appendices.","The Commodity Futures Trading Commission (the ""Commission"" or the ""CFTC"") is proposing revisions to part 43 and part 45 of the Commission's regulations to: allow for continued geographic masking after the designation of the unique product identifier...","Consumer protection, Reporting and recordkeeping requirements, Reporting and recordkeeping requirements, Reporting and recordkeeping requirements, Swaps","Comments must be submitted on or before February 26, 2024.",35,90046,90080,False,Commodity Futures Trading Commission,77,https://www.federalregister.gov/agencies/commodity-futures-trading-commission,None,commodity-futures-trading-commission,"17, 17","43, 45"
Agency Information Collection Activities; Submission for OMB Review; Comment Request; Multiple Internal Revenue Service (IRS) Information Collection Requests,2023-28538,Notice.,2023-12-27,https://www.govinfo.gov/content/pkg/FR-2023-12-27/pdf/2023-28538.pdf,"The Department of the Treasury will submit the following information collection requests to the Office of Management and Budget (OMB) for review and clearance in accordance with the Paperwork Reduction Act of 1995, on or after the date of publication of this notice. The public is invited to submit comments on these requests.","The Department of the Treasury will submit the following information collection requests to the Office of Management and Budget (OMB) for review and clearance in accordance with the Paperwork Reduction Act of 1995, on or after the date of publication...",,"Comments should be received on or before January 26, 2024 to be assured of consideration.",4,89496,89499,,Treasury Department,497,https://www.federalregister.gov/agencies/treasury-department,None,treasury-department,,
Agency Information Collection Activities; Submission for OMB Review; Comment Request; Multiple Alcohol and Tobacco Tax and Trade Bureau Information Collection Requests,2023-28524,Notice of information collection; request for comment.,2023-12-27,https://www.govinfo.gov/content/pkg/FR-2023-12-27/pdf/2023-28524.pdf,"The Department of the Treasury will submit the following information collection requests to the Office of Management and Budget (OMB) for review and clearance in accordance with the Paperwork Reduction Act of 1995, on or after the date of publication of this notice. The public is invited to submit comments on these requests.","The Department of the Treasury will submit the following information collection requests to the Office of Management and Budget (OMB) for review and clearance in accordance with the Paperwork Reduction Act of 1995, on or after the date of publication...",,"Comments should be received on or before January 26, 2024 to be assured of consideration.",2,89499,89500,,Treasury Department,497,https://www.federalregister.gov/agencies/treasury-department,None,treasury-department,,
Agency Information Collection Activities; Submission for OMB Review; Comment Request; Employer's Quarterly Federal Tax Return,2023-28448,Notice of information collection; request for comment.,2023-12-27,https://www.govinfo.gov/content/pkg/FR-2023-12-27/pdf/2023-28448.pdf,"The Internal Revenue Service, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on proposed and/or continuing information collections, as required by the Paperwork Reduction Act of 1995 (PRA). The IRS is soliciting comments on U.S. Employment Tax Returns and related Forms.","The Internal Revenue Service, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on proposed and/or continuing information collections,...",,"Comments should be received on or before January 26, 2024 to be assured of consideration.",2,89500,89501,,Treasury Department,497,https://www.federalregister.gov/agencies/treasury-department,None,treasury-department,,
"Veterans and Community Oversight and Engagement Board, Notice of Meeting, Amended",2023-28546,,2023-12-27,https://www.govinfo.gov/content/pkg/FR-2023-12-27/pdf/2023-28546.pdf,,,,,2,89501,89502,,Veterans Affairs Department,520,https://www.federalregister.gov/agencies/veterans-affairs-department,None,veterans-affairs-department,,
Agency Information Collection Activity: Application for Approval of an Institution of Higher Learning Facility; Institution of Higher Learning-Program Submission List; Application for Approval of Organizations Other Than Institutions of Higher Learning; Non-Institution of Higher Learning-Program Submission List,2023-28364,Notice.,2023-12-27,https://www.govinfo.gov/content/pkg/FR-2023-12-27/pdf/2023-28364.pdf,"Veterans Benefits Administration, Department of Veterans Affairs (VA), is announcing an opportunity for public comment on the proposed collection of certain information by the agency. Under the Paperwork Reduction Act (PRA) of 1995, Federal agencies are required to publish notice in the Federal Register concerning each proposed collection of information, including each proposed extension of a currently approved collection and allow 60 days for public comment in response to the notice.","Veterans Benefits Administration, Department of Veterans Affairs (VA), is announcing an opportunity for public comment on the proposed collection of certain information by the agency. Under the Paperwork Reduction Act (PRA) of 1995, Federal agencies...",,"Written comments and recommendations on the proposed collection of information should be received on or before February 26, 2024.",2,89502,89503,,Veterans Affairs Department,520,https://www.federalregister.gov/agencies/veterans-affairs-department,None,veterans-affairs-department,,
Debt Management; Administrative Updates,2023-28408,Final rule.,2023-12-27,https://www.govinfo.gov/content/pkg/FR-2023-12-27/pdf/2023-28408.pdf,This final rule amends the U.S. Department of Agriculture's debt management regulations by making two minor clarifying changes pertaining to entities or programs to which some or all of the regulations do not apply.,This final rule amends the U.S. Department of Agriculture's debt management regulations by making two minor clarifying changes pertaining to entities or programs to which some or all of the regulations do not apply.,"Administrative practice and procedure, Claims, Government employees, Income taxes, Loan programs-agriculture, Penalties, Reporting and recordkeeping requirements, Wages","Effective December 27, 2023.",2,89275,89276,,"Agriculture Department, ","12, ","https://www.federalregister.gov/agencies/agriculture-department, ","None, ","agriculture-department, ",7,3
"Marketing Order for Oranges, Grapefruit, Tangerines, and Pummelos Grown in Florida",2023-28315,Final rule.,2023-12-27,https://www.govinfo.gov/content/pkg/FR-2023-12-27/pdf/2023-28315.pdf,"This rulemaking amends Marketing Order 905, which regulates the handling of oranges, grapefruit, tangerines, and pummelos grown in Florida. The amendments reduce the size of the Citrus Administrative Committee (Committee), lower the quorum requirements, revise the nomination and selection processes, and remove the requirement to allocate committee seats based on volume from each district. A new section will provide the Committee authority to receive voluntary contributions for promotion and research projects. Also, conforming changes were made to help align the marketing order with the amendments.","This rulemaking amends Marketing Order 905, which regulates the handling of oranges, grapefruit, tangerines, and pummelos grown in Florida. The amendments reduce the size of the Citrus Administrative Committee (Committee), lower the quorum...","Grapefruit, Marketing agreements, Oranges, Reporting and recordkeeping requirements, Tangerines","This rule is effective January 26, 2024.",5,89276,89280,,"Agriculture Department, Agricultural Marketing Service","12, 9","https://www.federalregister.gov/agencies/agriculture-department, https://www.federalregister.gov/agencies/agricultural-marketing-service","None, 12","agriculture-department, agricultural-marketing-service",7,905
Civil Monetary Penalty Adjustments for Inflation,2023-28484,Final rule.,2023-12-27,https://www.govinfo.gov/content/pkg/FR-2023-12-27/pdf/2023-28484.pdf,"This final rule is being issued to adjust for inflation each civil monetary penalty (CMP) provided by law within the jurisdiction of the United States Department of Commerce (Department of Commerce). The Federal Civil Penalties Inflation Adjustment Act of 1990, as amended by the Debt Collection Improvement Act of 1996 and the Federal Civil Penalties Inflation Adjustment Act Improvements Act of 2015, required the head of each agency to adjust for inflation its CMP levels in effect as of November 2, 2015, under a revised methodology that was effective for 2016 which provided for initial catch up adjustments for inflation in 2016, and requires adjustments for inflation to CMPs under a revised methodology for each year thereafter. The Department of Commerce's 2024 adjustments for inflation to CMPs apply only to CMPs with a dollar amount, and will not apply to CMPs written as functions of violations. The Department of Commerce's 2024 adjustments for inflation to CMPs apply only to those CMPs, including those whose associated violation predated such adjustment, which are assessed by the Department of Commerce after the effective date of the new CMP level.",This final rule is being issued to adjust for inflation each civil monetary penalty (CMP) provided by law within the jurisdiction of the United States Department of Commerce (Department of Commerce). The Federal Civil Penalties Inflation Adjustment Act...,Law enforcement,"This rule is effective January 15, 2024.",4,89300,89303,,"Commerce Department, ","54, ","https://www.federalregister.gov/agencies/commerce-department, ","None, ","commerce-department, ",15,6
"Direct-to-Consumer Prescription Drug Advertisements: Presentation of the Major Statement in a Clear, Conspicuous, and Neutral Manner in Advertisements in Television and Radio Format Final Rule: Questions and Answers; Guidance for Industry; Small Entity Compliance Guide; Availability",2023-28530,Notification of availability.,2023-12-27,https://www.govinfo.gov/content/pkg/FR-2023-12-27/pdf/2023-28530.pdf,"The Food and Drug Administration (FDA, the Agency, or we) is announcing the availability of a guidance for industry entitled ""Direct-to-Consumer Prescription Drug Advertisements: Presentation of the Major Statement in a Clear, Conspicuous, and Neutral Manner in Advertisements in Television and Radio Format Final Rule: Questions and Answers."" We are issuing this small entity compliance guide (SECG) in accordance with the Small Business Regulatory Enforcement Fairness Act to help small businesses understand and comply with the ""Direct-to- Consumer Prescription Drug Advertisements: Presentation of the Major Statement in a Clear, Conspicuous, and Neutral Manner in Advertisements in Television and Radio Format Final Rule"" (CCN Final Rule). The CCN Final Rule modifies FDA regulations to reflect the requirement in the Federal Food, Drug, and Cosmetic Act (FD&C Act) that human prescription drug advertisements presented directly to consumers (DTC) in television or radio format and stating the name of the drug and its conditions of use (DTC TV/radio ads) present the major statement relating to side effects and contraindications (major statement) in a clear, conspicuous, and neutral manner and establishes standards to help ensure this requirement is met. The term ""drugs"" in this guidance refers to prescription human drug and biological products.","The Food and Drug Administration (FDA, the Agency, or we) is announcing the availability of a guidance for industry entitled ""Direct-to-Consumer Prescription Drug Advertisements: Presentation of the Major Statement in a Clear, Conspicuous, and Neutral...",,"The announcement of the guidance is published in the Federal Register on December 27, 2023.",3,89303,89305,,"Health and Human Services Department, Food and Drug Administration","221, 199","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/food-and-drug-administration","None, 221","health-and-human-services-department, food-and-drug-administration",21,202
Final Waiver and Extension of the Project Period With Funding for Innovative Rehabilitation Training Grants,2023-28375,Final waiver and extension of project period with funding.,2023-12-27,https://www.govinfo.gov/content/pkg/FR-2023-12-27/pdf/2023-28375.pdf,"The Secretary waives the requirements in the Education Department General Administrative Regulations that generally prohibit project periods exceeding five years and project period extensions involving the obligation of additional Federal funds. The waiver and extension enable seven projects under Assistance Listing Number (ALN) 84.263C to receive funding for an additional period, not to exceed September 30, 2025.",The Secretary waives the requirements in the Education Department General Administrative Regulations that generally prohibit project periods exceeding five years and project period extensions involving the obligation of additional Federal funds. The...,,"The waiver and extension of the project periods are effective December 27, 2023.",2,89305,89306,,Education Department,126,https://www.federalregister.gov/agencies/education-department,None,education-department,34,None
Final Waiver and Extension of the Project Period With Funding for Rehabilitation Long-Term Training Grants,2023-28490,Final waiver and extension of project period with funding.,2023-12-27,https://www.govinfo.gov/content/pkg/FR-2023-12-27/pdf/2023-28490.pdf,"The Secretary waives the requirements in the Education Department General Administrative Regulations that generally prohibit project periods exceeding five years and project period extensions involving the obligation of additional Federal funds. The waiver and extension enables 51 projects under Assistance Listing Numbers (ALN) 84.129B, 84.129H, 84.129P, and 84.129Q to receive funding for an additional period, not to exceed September 30, 2025.",The Secretary waives the requirements in the Education Department General Administrative Regulations that generally prohibit project periods exceeding five years and project period extensions involving the obligation of additional Federal funds. The...,,"The waiver and extension of the project periods are effective December 27, 2023.",2,89306,89307,,Education Department,126,https://www.federalregister.gov/agencies/education-department,None,education-department,34,None
Civil Monetary Penalty Inflation Adjustment,2023-28555,Final rule.,2023-12-27,https://www.govinfo.gov/content/pkg/FR-2023-12-27/pdf/2023-28555.pdf,"The Environmental Protection Agency (EPA) is promulgating this final rule to adjust the level of the maximum (and minimum) statutory civil monetary penalty amounts under the statutes the EPA administers. This action is mandated by the Federal Civil Penalties Inflation Adjustment Act of 1990, as amended through the Federal Civil Penalties Inflation Adjustment Act Improvements Act of 2015 (""the 2015 Act""). The 2015 Act prescribes a formula for annually adjusting the statutory maximum (and minimum) amount of civil monetary penalties to reflect inflation, maintain the deterrent effect of statutory civil monetary penalties, and promote compliance with the law. The rule does not establish specific civil monetary penalty amounts the EPA may seek in particular cases. The EPA calculates those amounts, as appropriate, based on the facts of particular cases and applicable agency penalty policies. The EPA's civil penalty policies, which guide enforcement personnel on how to exercise the EPA's discretion within statutory penalty authorities, take into account a number of fact-specific considerations, e.g., the seriousness of the violation, the violator's good faith efforts to comply, any economic benefit gained by the violator as a result of its noncompliance, and the violator's ability to pay.",The Environmental Protection Agency (EPA) is promulgating this final rule to adjust the level of the maximum (and minimum) statutory civil monetary penalty amounts under the statutes the EPA administers. This action is mandated by the Federal Civil...,"Administrative practice and procedure, Environmental protection, Penalties","This final rule is effective December 27, 2023.",5,89309,89313,,Environmental Protection Agency,145,https://www.federalregister.gov/agencies/environmental-protection-agency,None,environmental-protection-agency,40,19
Magnuson-Stevens Act Provisions; Fisheries Off West Coast States; Pacific Coast Groundfish Fishery; Pacific Coast Groundfish Fishery Management Plan; 2024 Specifications and Management Measures Corrections,2023-28339,Final rule.,2023-12-27,https://www.govinfo.gov/content/pkg/FR-2023-12-27/pdf/2023-28339.pdf,"This rule corrects 2024 harvest specifications for several species of groundfish where the numerical values were mathematically calculated incorrectly and do not accurately reflect the harvest policy recommendations of the Pacific Fishery Management Council (Council). These harvest specifications are for groundfish caught in the U.S. exclusive economic zone seaward of Washington, Oregon, and California, consistent with the Magnuson-Stevens Fishery Conservation and Management Act (Magnuson-Stevens Act) and the Pacific Coast Groundfish Fishery Management Plan (PCGFMP). This rule revises harvest limits or allocations that were previously calculated based on incorrect annual catch limits (ACLs). This action implements corrected numerical values that align with the Council's intended harvest policy decisions and considers the most recent fishery information available at the time those policies were recommended.",This rule corrects 2024 harvest specifications for several species of groundfish where the numerical values were mathematically calculated incorrectly and do not accurately reflect the harvest policy recommendations of the Pacific Fishery Management...,"Fisheries, Fishing, Reporting and recordkeeping requirements","This final rule is effective December 27, 2023.",7,89313,89319,,"Commerce Department, National Oceanic and Atmospheric Administration","54, 361","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration","None, 54","commerce-department, national-oceanic-and-atmospheric-administration",50,660
Fisheries of the Exclusive Economic Zone Off Alaska; Reallocation of Pacific Cod in the Central Regulatory Area of the Gulf of Alaska,2023-28486,Temporary rule; reallocation.,2023-12-27,https://www.govinfo.gov/content/pkg/FR-2023-12-27/pdf/2023-28486.pdf,"NMFS is reallocating the projected unused amount of Pacific cod from catcher vessels using trawl gear to vessels using jig gear, catcher/processors using trawl gear, and catcher vessels greater than or equal to 50 feet (15.2 meters (m)) length overall using hook-and- line gear in the Central Regulatory Area of the Gulf of Alaska (GOA). This action is necessary to allow the 2023 total allowable catch (TAC) of Pacific cod to be harvested.","NMFS is reallocating the projected unused amount of Pacific cod from catcher vessels using trawl gear to vessels using jig gear, catcher/processors using trawl gear, and catcher vessels greater than or equal to 50 feet (15.2 meters (m)) length overall...",,"Effective December 21, 2023, through 2400 hours, Alaska local time (A.l.t.), December 31, 2023.",2,89319,89320,,"Commerce Department, National Oceanic and Atmospheric Administration","54, 361","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration","None, 54","commerce-department, national-oceanic-and-atmospheric-administration",50,679
"Domestic Dates Produced or Packed in Riverside County, California; Decreased Assessment Rate",2023-28279,Proposed rule.,2023-12-27,https://www.govinfo.gov/content/pkg/FR-2023-12-27/pdf/2023-28279.pdf,"This proposed rule would implement a recommendation from the California Date Administrative Committee (Committee) to decrease the assessment rate established for the 2023-2024 and subsequent crop years. The proposed assessment rate would remain in effect indefinitely unless modified, suspended, or terminated.",This proposed rule would implement a recommendation from the California Date Administrative Committee (Committee) to decrease the assessment rate established for the 2023-2024 and subsequent crop years. The proposed assessment rate would remain in...,"Dates, Marketing agreements, Reporting and recordkeeping requirements","Comments must be received by January 26, 2024.",4,89327,89330,,"Agriculture Department, Agricultural Marketing Service","12, 9","https://www.federalregister.gov/agencies/agriculture-department, https://www.federalregister.gov/agencies/agricultural-marketing-service","None, 12","agriculture-department, agricultural-marketing-service",7,987
Federal Power Act Section 203 Blanket Authorizations for Investment Companies,2023-28665,Notice of inquiry.,2023-12-27,https://www.govinfo.gov/content/pkg/FR-2023-12-27/pdf/2023-28665.pdf,"The Federal Energy Regulatory Commission (Commission) seeks comment on whether, and if so, how, the Commission should revise its policy on providing blanket authorizations for investment companies under the Federal Power Act. The Commission also seeks comment on what constitutes control of a public utility in evaluating holding companies', including investment companies', requests for blanket authorization and what factors it should consider when evaluating control over public utilities as part of a request for blanket authorization.","The Federal Energy Regulatory Commission (Commission) seeks comment on whether, and if so, how, the Commission should revise its policy on providing blanket authorizations for investment companies under the Federal Power Act. The Commission also seeks...",,"Initial comments are due March 26, 2024 and reply comments are due April 25, 2024.",6,89346,89351,,"Energy Department, Federal Energy Regulatory Commission","136, 167","https://www.federalregister.gov/agencies/energy-department, https://www.federalregister.gov/agencies/federal-energy-regulatory-commission","None, 136","energy-department, federal-energy-regulatory-commission",18,33
